,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5
,total,doc_calls,var_calls,api_name,var_name,total,doc_calls,var_calls,api_name,var_name,total,doc_calls,var_calls,api_name,var_name,total,doc_calls,var_calls,api_name,var_name,total,doc_calls,var_calls,api_name,var_name
30c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
31,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
31c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
33,1,1,0,,,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,
33c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
34.1,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
34.1c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
39,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
39c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
40.1,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
40.1c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
42,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
42c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
43,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
43c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
44,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
44c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
47,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
47c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
48,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
48c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
49,0,0,0,,,0,0,0,,,0,0,0,,,1,1,0,,,0,0,0,,
49c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
50,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
50c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
153,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
153c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
226,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
226c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
930,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
930c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
1732,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
1732c,0,0,0,,,0,0,0,,,1,1,0,,,1,1,0,,,1,1,0,,
1933,1,1,0,amin,,1,1,0,amin,,1,1,0,amin,,1,1,0,amin,,1,1,0,amin,
1933c,0,0,0,,,0,0,0,,,1,1,0,amin,,0,0,0,,,1,1,0,amin,
2750,0,0,0,,,0,0,0,,,1,1,0,roc_auc_score,,0,0,0,,,0,0,0,,
2750c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
3010,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
3010c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
3046,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
3046c,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
3893,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,
